gender,age,academic_pressure,cgpa,study_satisfaction,sleep_duration,dietary_habits,have_you_ever_had_suicidal_thoughts_,work_study_hours,financial_stress,family_history_of_mental_illness,degree_grouped,city_grouped
Female,21.0,5.0,7.25,3.0,'7-8 hours',Moderate,Yes,6.0,4.0,Yes,B.Ed,Agra
Male,30.0,3.0,7.94,3.0,'5-6 hours',Healthy,No,10.0,2.0,No,B.Ed,Visakhapatnam
Male,25.0,3.0,9.72,2.0,'7-8 hours',Unhealthy,Yes,8.0,4.0,No,BHM,Agra
Male,20.0,5.0,8.94,4.0,'Less than 5 hours',Moderate,No,10.0,2.0,No,'Class 12',Patna
Female,30.0,1.0,7.35,1.0,'7-8 hours',Moderate,No,2.0,2.0,Yes,PhD,Chennai
Male,24.0,1.0,9.21,4.0,'5-6 hours',Moderate,Yes,3.0,2.0,No,MCA,Vasai-Virar
Male,28.0,1.0,5.79,1.0,'5-6 hours',Unhealthy,Yes,0.0,2.0,No,MSc,Jaipur
Male,26.0,4.0,8.04,3.0,'5-6 hours',Moderate,Yes,6.0,5.0,Yes,Other,Bhopal
Male,30.0,5.0,9.74,2.0,'5-6 hours',Unhealthy,No,10.0,1.0,No,MBBS,Lucknow
Male,28.0,1.0,9.49,4.0,'7-8 hours',Healthy,No,0.0,5.0,No,B.Pharm,Srinagar
Male,33.0,3.0,7.77,4.0,'More than 8 hours',Moderate,Yes,7.0,3.0,No,M.Ed,Srinagar
Male,31.0,1.0,5.61,3.0,'7-8 hours',Unhealthy,No,7.0,2.0,No,LLB,Srinagar
Male,31.0,5.0,9.56,5.0,'Less than 5 hours',Unhealthy,No,10.0,4.0,No,B.Com,Delhi
Female,27.0,4.0,9.39,2.0,'5-6 hours',Moderate,No,4.0,1.0,Yes,B.Tech,Kolkata
Male,20.0,3.0,6.16,4.0,'7-8 hours',Healthy,No,12.0,4.0,No,'Class 12',Kalyan
Male,32.0,4.0,6.16,3.0,'5-6 hours',Moderate,Yes,10.0,4.0,Yes,BCA,Ludhiana
Female,28.0,1.0,6.83,3.0,'More than 8 hours',Moderate,No,10.0,2.0,Yes,M.Ed,Varanasi
Male,29.0,2.0,5.97,3.0,'5-6 hours',Unhealthy,No,6.0,3.0,No,BHM,Vadodara
Male,24.0,5.0,7.53,4.0,'More than 8 hours',Unhealthy,Yes,7.0,1.0,Yes,B.Pharm,Nagpur
Male,34.0,1.0,9.56,4.0,'Less than 5 hours',Moderate,No,10.0,1.0,Yes,B.Ed,Kolkata
Male,21.0,2.0,8.04,4.0,'More than 8 hours',Healthy,Yes,7.0,3.0,Yes,B.Ed,Hyderabad
Male,30.0,5.0,8.08,2.0,'5-6 hours',Healthy,Yes,0.0,3.0,No,BA,Chennai
Male,25.0,5.0,8.04,3.0,'7-8 hours',Unhealthy,No,7.0,3.0,Yes,BA,Srinagar
Male,34.0,1.0,6.27,3.0,'7-8 hours',Unhealthy,Yes,8.0,1.0,Yes,LLB,Vadodara
Female,33.0,4.0,8.91,3.0,'More than 8 hours',Moderate,No,12.0,1.0,Yes,B.Pharm,Nashik
Female,25.0,4.0,8.83,1.0,'More than 8 hours',Healthy,No,3.0,2.0,No,B.Com,Bhopal
Female,24.0,4.0,8.59,3.0,'7-8 hours',Healthy,Yes,10.0,4.0,No,BA,Delhi
Female,26.0,2.0,5.8,4.0,'Less than 5 hours',Moderate,Yes,8.0,3.0,No,BCA,Vadodara
Female,20.0,2.0,5.56,1.0,'Less than 5 hours',Healthy,No,7.0,5.0,No,'Class 12',Ludhiana
Female,19.0,3.0,7.23,4.0,'More than 8 hours',Healthy,No,6.0,2.0,Yes,'Class 12',Vasai-Virar
Female,32.0,2.0,8.93,3.0,'5-6 hours',Healthy,Yes,11.0,5.0,No,BE,Jaipur
Female,34.0,3.0,7.09,4.0,'Less than 5 hours',Healthy,No,12.0,1.0,No,LLB,Surat
Male,30.0,1.0,5.57,4.0,'5-6 hours',Healthy,No,7.0,3.0,Yes,Other,Lucknow
Female,24.0,3.0,9.47,3.0,'Less than 5 hours',Unhealthy,Yes,1.0,3.0,No,'Class 12',Agra
Male,21.0,1.0,6.84,1.0,'More than 8 hours',Healthy,Yes,8.0,3.0,Yes,B.Arch,Jaipur
Female,21.0,4.0,8.5,1.0,'5-6 hours',Moderate,Yes,12.0,3.0,No,M.Com,Visakhapatnam
Male,23.0,5.0,6.56,2.0,'7-8 hours',Healthy,Yes,3.0,5.0,Yes,B.Com,Chennai
Male,19.0,4.0,9.42,3.0,'More than 8 hours',Unhealthy,No,11.0,2.0,No,'Class 12',Chennai
Male,26.0,4.0,8.83,2.0,'7-8 hours',Unhealthy,Yes,12.0,5.0,Yes,MBBS,Kalyan
Male,33.0,1.0,9.67,3.0,'7-8 hours',Moderate,Yes,5.0,3.0,No,M.Pharm,Delhi
Female,18.0,3.0,6.37,4.0,'More than 8 hours',Healthy,Yes,9.0,5.0,No,'Class 12',Kolkata
Male,25.0,5.0,5.61,4.0,'Less than 5 hours',Unhealthy,Yes,2.0,3.0,Yes,B.Arch,Ghaziabad
Male,20.0,5.0,7.49,4.0,'More than 8 hours',Unhealthy,Yes,1.0,4.0,No,'Class 12',Ludhiana
Male,30.0,3.0,5.1,3.0,'7-8 hours',Moderate,No,10.0,3.0,No,B.Tech,Kolkata
Female,20.0,3.0,6.02,4.0,'Less than 5 hours',Moderate,Yes,3.0,3.0,Yes,'Class 12',Kalyan
Male,20.0,3.0,5.82,1.0,'More than 8 hours',Moderate,No,3.0,4.0,No,'Class 12',Mumbai
Male,27.0,3.0,9.37,3.0,'5-6 hours',Healthy,No,9.0,1.0,No,B.Ed,Lucknow
Female,21.0,5.0,5.85,1.0,'More than 8 hours',Healthy,Yes,11.0,3.0,Yes,MCA,Pune
Male,29.0,3.0,8.04,4.0,'7-8 hours',Moderate,No,0.0,1.0,Yes,B.Pharm,Other
Female,31.0,3.0,6.92,4.0,'More than 8 hours',Unhealthy,Yes,8.0,4.0,Yes,'Class 12',Ahmedabad
Male,24.0,4.0,7.09,2.0,'Less than 5 hours',Unhealthy,Yes,8.0,3.0,No,B.Arch,Jaipur
Female,18.0,4.0,6.88,4.0,'5-6 hours',Unhealthy,No,10.0,2.0,Yes,'Class 12',Surat
Female,21.0,5.0,8.53,2.0,'Less than 5 hours',Unhealthy,Yes,10.0,5.0,No,B.Com,Chennai
Female,29.0,2.0,8.0,5.0,'5-6 hours',Moderate,Yes,10.0,4.0,No,BE,Vasai-Virar
Female,21.0,1.0,6.78,2.0,'7-8 hours',Healthy,Yes,7.0,2.0,Yes,B.Tech,Chennai
Male,20.0,5.0,8.04,4.0,'Less than 5 hours',Unhealthy,Yes,10.0,1.0,No,'Class 12',Srinagar
Male,24.0,1.0,9.41,3.0,'7-8 hours',Unhealthy,Yes,5.0,1.0,No,B.Ed,Ghaziabad
Male,28.0,3.0,6.83,1.0,'5-6 hours',Moderate,Yes,12.0,3.0,No,LLB,Delhi
Male,22.0,1.0,9.92,3.0,'More than 8 hours',Unhealthy,Yes,10.0,2.0,No,BBA,Lucknow
Male,33.0,4.0,9.82,2.0,'More than 8 hours',Moderate,No,7.0,3.0,No,BSc,Srinagar
Male,20.0,4.0,8.56,1.0,'More than 8 hours',Moderate,Yes,4.0,1.0,No,'Class 12',Pune
Female,32.0,1.0,8.04,2.0,'5-6 hours',Unhealthy,No,8.0,2.0,Yes,MD,Bhopal
Male,22.0,1.0,7.1,2.0,'More than 8 hours',Unhealthy,No,10.0,2.0,No,BSc,Ludhiana
Male,21.0,5.0,7.8,1.0,'Less than 5 hours',Unhealthy,Yes,11.0,5.0,Yes,BE,Ludhiana
Female,34.0,4.0,9.04,5.0,'7-8 hours',Moderate,No,3.0,1.0,No,PhD,Ludhiana
Male,26.0,5.0,5.26,2.0,'More than 8 hours',Healthy,No,7.0,1.0,No,B.Arch,Vasai-Virar
Female,30.0,2.0,7.88,3.0,'More than 8 hours',Moderate,No,5.0,1.0,Yes,B.Arch,Meerut
Male,19.0,1.0,5.6,4.0,'More than 8 hours',Moderate,No,4.0,3.0,No,'Class 12',Kolkata
Female,31.0,4.0,5.67,4.0,'7-8 hours',Healthy,Yes,5.0,4.0,Yes,MA,Ghaziabad
Female,20.0,3.0,6.36,3.0,'Less than 5 hours',Healthy,Yes,6.0,4.0,No,'Class 12',Pune
Female,21.0,5.0,8.95,1.0,'More than 8 hours',Unhealthy,Yes,11.0,1.0,Yes,B.Tech,Chennai
Male,23.0,1.0,7.38,2.0,'5-6 hours',Healthy,Yes,3.0,1.0,Yes,MD,Pune
Female,28.0,5.0,7.77,1.0,'5-6 hours',Unhealthy,Yes,12.0,1.0,Yes,PhD,Bhopal
Female,29.0,4.0,6.89,5.0,'7-8 hours',Healthy,No,8.0,2.0,No,MA,Jaipur
Female,28.0,3.0,8.17,1.0,'Less than 5 hours',Healthy,No,7.0,4.0,No,BE,Thane
Female,28.0,4.0,5.1,2.0,'Less than 5 hours',Unhealthy,Yes,11.0,5.0,No,BBA,Vadodara
Male,21.0,1.0,8.71,3.0,'7-8 hours',Unhealthy,Yes,5.0,4.0,Yes,M.Com,Hyderabad
Female,21.0,5.0,7.09,2.0,'7-8 hours',Moderate,Yes,11.0,3.0,No,B.Arch,Srinagar
Male,21.0,2.0,5.37,3.0,'Less than 5 hours',Unhealthy,No,4.0,2.0,No,BCA,Bhopal
Male,24.0,5.0,7.77,2.0,'More than 8 hours',Moderate,No,7.0,5.0,No,BA,Hyderabad
Female,24.0,5.0,8.9,2.0,'7-8 hours',Healthy,Yes,0.0,2.0,Yes,BSc,Surat
Female,33.0,2.0,5.74,5.0,'7-8 hours',Healthy,Yes,4.0,2.0,No,PhD,Kolkata
Female,21.0,5.0,6.75,3.0,'7-8 hours',Moderate,Yes,3.0,2.0,No,BHM,Thane
Male,32.0,5.0,5.74,2.0,'Less than 5 hours',Moderate,Yes,12.0,5.0,Yes,B.Ed,Kalyan
Female,20.0,5.0,6.41,4.0,'Less than 5 hours',Unhealthy,Yes,11.0,2.0,Yes,'Class 12',Kalyan
Female,27.0,5.0,8.77,5.0,'Less than 5 hours',Unhealthy,Yes,9.0,5.0,Yes,B.Ed,Other
Female,20.0,3.0,5.08,2.0,'More than 8 hours',Healthy,No,0.0,2.0,No,'Class 12',Kanpur
Male,27.0,1.0,8.44,1.0,'Less than 5 hours',Healthy,Yes,10.0,4.0,Yes,MD,Bhopal
Female,29.0,4.0,5.27,2.0,'More than 8 hours',Unhealthy,Yes,12.0,1.0,Yes,BHM,Vasai-Virar
Male,32.0,3.0,8.95,5.0,'5-6 hours',Healthy,No,11.0,1.0,No,MBBS,Bhopal
Male,18.0,3.0,7.83,3.0,'7-8 hours',Unhealthy,Yes,10.0,3.0,No,'Class 12',Kalyan
Male,24.0,5.0,8.96,1.0,'7-8 hours',Unhealthy,Yes,10.0,1.0,No,B.Ed,Thane
Male,18.0,5.0,8.97,1.0,'5-6 hours',Moderate,Yes,10.0,4.0,Yes,'Class 12',Delhi
Male,24.0,5.0,9.6,4.0,'7-8 hours',Moderate,No,9.0,2.0,Yes,B.Pharm,Indore
Female,28.0,5.0,8.53,2.0,'7-8 hours',Unhealthy,Yes,12.0,2.0,No,BHM,Srinagar
Male,33.0,3.0,6.75,4.0,'Less than 5 hours',Moderate,No,7.0,1.0,No,M.Tech,Ghaziabad
Female,23.0,1.0,7.24,4.0,'Less than 5 hours',Healthy,No,5.0,3.0,Yes,B.Tech,Nagpur
Male,26.0,5.0,6.29,1.0,'Less than 5 hours',Moderate,Yes,8.0,2.0,No,B.Tech,Meerut
Male,33.0,3.0,7.43,1.0,'Less than 5 hours',Moderate,Yes,9.0,4.0,Yes,M.Tech,Pune
Female,19.0,3.0,5.76,2.0,'5-6 hours',Moderate,No,11.0,4.0,Yes,'Class 12',Kolkata
Female,33.0,1.0,7.82,1.0,'Less than 5 hours',Moderate,No,12.0,1.0,Yes,LLB,Kolkata
Female,25.0,5.0,5.61,4.0,'7-8 hours',Moderate,Yes,10.0,4.0,No,MCA,Kalyan
Female,28.0,2.0,6.84,3.0,'5-6 hours',Healthy,No,11.0,1.0,No,B.Tech,Rajkot
Male,27.0,4.0,8.27,1.0,'7-8 hours',Moderate,Yes,10.0,4.0,No,B.Pharm,Srinagar
Female,24.0,5.0,6.1,3.0,'Less than 5 hours',Healthy,Yes,10.0,5.0,No,B.Com,Indore
Male,33.0,3.0,5.12,3.0,'Less than 5 hours',Moderate,Yes,12.0,2.0,Yes,MSc,Srinagar
Male,25.0,4.0,8.03,4.0,'More than 8 hours',Moderate,Yes,6.0,4.0,No,B.Tech,Rajkot
Male,33.0,3.0,8.59,2.0,'5-6 hours',Healthy,Yes,11.0,2.0,Yes,BBA,Kanpur
Female,25.0,4.0,6.38,4.0,'Less than 5 hours',Healthy,No,6.0,4.0,No,BCA,Vasai-Virar
Male,23.0,1.0,6.78,4.0,'5-6 hours',Moderate,Yes,3.0,2.0,No,B.Tech,Bhopal
Female,29.0,3.0,9.86,3.0,'More than 8 hours',Moderate,No,5.0,2.0,Yes,M.Com,Bhopal
Female,30.0,4.0,9.89,3.0,'Less than 5 hours',Healthy,Yes,5.0,3.0,Yes,M.Com,Vasai-Virar
Male,33.0,4.0,6.39,4.0,'Less than 5 hours',Moderate,Yes,7.0,3.0,No,LLB,Srinagar
Male,33.0,4.0,9.21,4.0,'7-8 hours',Unhealthy,Yes,8.0,5.0,Yes,Other,Visakhapatnam
Male,27.0,2.0,9.71,2.0,'Less than 5 hours',Healthy,Yes,12.0,5.0,Yes,M.Tech,Kolkata
Male,33.0,3.0,7.85,4.0,'7-8 hours',Unhealthy,Yes,3.0,1.0,No,M.Ed,Bhopal
Male,20.0,5.0,9.24,1.0,'Less than 5 hours',Unhealthy,Yes,8.0,5.0,Yes,'Class 12',Indore
Female,18.0,3.0,8.17,2.0,'Less than 5 hours',Moderate,Yes,12.0,2.0,No,'Class 12',Ghaziabad
Male,20.0,5.0,8.04,2.0,'7-8 hours',Moderate,Yes,6.0,5.0,Yes,'Class 12',Nagpur
Male,24.0,3.0,9.74,5.0,'5-6 hours',Moderate,Yes,6.0,5.0,Yes,B.Ed,Jaipur
Male,18.0,5.0,9.9,2.0,'7-8 hours',Unhealthy,No,7.0,1.0,No,'Class 12',Hyderabad
Female,26.0,4.0,5.85,3.0,'More than 8 hours',Moderate,Yes,12.0,4.0,Yes,BCA,Patna
Male,25.0,4.0,9.7,3.0,'5-6 hours',Healthy,No,6.0,4.0,Yes,PhD,Mumbai
Male,32.0,2.0,8.09,4.0,'5-6 hours',Healthy,No,8.0,3.0,Yes,BCA,Nashik
Male,28.0,3.0,9.24,4.0,'More than 8 hours',Moderate,No,12.0,2.0,No,B.Com,Vasai-Virar
Male,29.0,5.0,5.27,3.0,'7-8 hours',Healthy,Yes,11.0,5.0,No,M.Ed,Ludhiana
Male,18.0,1.0,7.25,4.0,'5-6 hours',Unhealthy,Yes,7.0,4.0,Yes,'Class 12',Thane
Female,23.0,3.0,8.58,4.0,'More than 8 hours',Healthy,No,8.0,2.0,Yes,BBA,Hyderabad
Male,20.0,3.0,6.89,4.0,'Less than 5 hours',Moderate,Yes,11.0,3.0,No,'Class 12',Hyderabad
Female,23.0,3.0,8.04,1.0,'7-8 hours',Unhealthy,Yes,8.0,5.0,No,B.Arch,Kolkata
Male,20.0,4.0,8.42,2.0,'5-6 hours',Unhealthy,Yes,10.0,4.0,Yes,'Class 12',Ahmedabad
Female,28.0,2.0,5.67,1.0,'7-8 hours',Moderate,Yes,9.0,2.0,No,Other,Lucknow
Male,22.0,2.0,5.41,3.0,'5-6 hours',Moderate,Yes,12.0,4.0,Yes,M.Com,Visakhapatnam
Male,34.0,3.0,7.51,1.0,'5-6 hours',Unhealthy,Yes,10.0,5.0,Yes,MSc,Kolkata
Female,24.0,3.0,6.16,3.0,'More than 8 hours',Moderate,Yes,6.0,3.0,No,B.Ed,Nagpur
Male,31.0,3.0,7.7,1.0,'7-8 hours',Healthy,Yes,8.0,5.0,No,BE,Visakhapatnam
Female,25.0,3.0,9.78,5.0,'Less than 5 hours',Moderate,Yes,8.0,5.0,Yes,B.Ed,Meerut
